"gene","h_cent"
"WT1",18.8004527995037
"ZIC1",17.7831181677996
"TFAP2B",17.2053747868177
"ESR1",15.7224598130904
"SOX10",15.326931482447
"FOXA1",14.9033807520699
"FOXG1",14.8905582815301
"ELF5",14.8798273306429
"PGR",14.8425667483172
"SPIB",14.7797032631987
"SUV39H2",13.9905171748202
"NR2F1",13.9487096097341
"ESRRG",13.8161414328267
"FOXC1",13.737982958342
"E2F8",13.5885680055882
"FOXM1",13.5749423181766
"AR",13.2971185439914
"PAX6",13.2492736663409
"TBX3",13.142718708578
"MYB",12.9095045360996
"PGBD5",12.804452597925
"CYP26B1",12.6842451879151
"FOSB",12.5521800758455
"MSX2",12.2958012890526
"FOXI1",12.268786748344
"PITX1",11.5875016899965
"REEP1",11.5024221545501
"FOS",11.2201341753573
"FOXD1",10.2206090830013
"LHX2",9.98458933342781
"MEOX2",9.97520704475769
"HLF",9.85077815961608
"EN1",9.34669623157771
"SPDEF",9.32451920807548
"EMX2",8.18962913259781
"MYBL2",8.17427044281368
"GATA3",0.426437788725684
"ADIRF",0
"ARNTL2",0
"C9orf116",0
"CACNA2D2",0
"CACNG4",0
"CDC20",0
"CDC25A",0
"CDC45",0
"CENPN",0
"CHODL",0
"CHRD",0
"CLSTN2",0
"CRIP1",0
"DHRS2",0
"GALNT14",0
"GBP1",0
"GP2",0
"GZMB",0
"HTR2B",0
"IGFBP4",0
"IRAK3",0
"LAMP5",0
"LIN7A",0
"MATN3",0
"MS4A2",0
"MUC1",0
"PIP",0
"RGS11",0
"SCGB2A1",0
"SCUBE2",0
"SLC7A5",0
"TAT",0
"TDO2",0
"TFF3",0
"THBS1",0
"TIMP4",0
"TNFRSF17",0
"TRAT1",0
"TSPAN8",0
"WIF1",0
"ZBED2",0
"ADRA2A",0
"AQP9",0
"CDCA8",0
"CXCL10",0
"CXCL2",0
"DKK1",0
"DLX2",0
"EGOT",0
"ELOVL2",0
"FABP7",0
"GSTA1",0
"HCG4",0
"HDAC11",0
"IGLJ3",0
"KCNK15",0
"KCTD14 /// NDUFC2-KCTD14",0
"MSLN",0
"MSMB",0
"OLFM1",0
"PNMT",0
"RAI2",0
"RARRES1",0
